Catégorie,Type de dépense,Remboursement produit A,Reste à charge
Hospitalisation,Forfait Journalier hospitalier (hébergement),20,0
Hospitalisation,Chambre particulière pour une nuit,70,0
Hospitalisation,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),24,0
Hospitalisation,Honoraires médecins adhérents OPTAM,84,0
Catégorie,Type de dépense,Remboursement produit B,Reste à charge
Hospitalisation,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),654,0
Soins courants - Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,7.5,1
Soins courants - Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,9.6,0
Soins courants - Conventionnés secteur 3,Consultation d'un médecin spécialiste,9,1
Soins courants - Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,9.6,0
Soins courants - Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",23,0
Soins courants - Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,19.5,19.5
Soins courants - Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,19.5,22.4
Soins courants - Autres,Matériel médical (achat d'une paire de béquilles),11.6,0
Dentaire,Couronne (prothèses 100% Santé),416,0
Dentaire,Détartrage (soins hors 100% Santé),13,0
Dentaire,Couronne céramo-métallique sur molaire (hors 100% Santé),193,269
Dentaire,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),193,334
Optique,Verres simples et Monture (100% Santé),91,1
Optique,Verres progressifs et Monture (100% Santé),172,1
Optique,Verres simples et Monture (hors 100% Santé),250,88.91
Optique,Verres progressifs et Monture (hors 100% Santé),350,250
Optique,Lentilles,109,0
Optique,Chirurgie réfractive,250,1 650
Aides Auditives,Par oreille pour un patient de plus de 20 ans (100% Santé),710,0
Aides Auditives,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),160,1100