Catégorie,Sous Catégorie,Type de frais,Détails Financiers des Remboursements,Niveau 1,Niveau 2,Niveau 3,Niveau 4,Niveau 5,Niveau 6
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Dépense (tarif réglementaire),€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Base de remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Remboursement Seyna,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Dépense (prix moyen national de l'acte),€66.59,€66.59,€66.59,€66.59,€66.59,€66.59
Hospitalisation,,Chambre particulière pour une nuit,Base de remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Remboursement Seyna,€0.00,€30.00,€45.00,€60.00,€70.00,€80.00
Hospitalisation,,Chambre particulière pour une nuit,Reste à charge,€66.59,€36.59,€21.59,€6.59,€0.00,€0.00
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Dépense (tarif moyen),€745.54,€745.54,€745.54,€745.54,€745.54,€745.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Base de remboursement de la sécurité sociale,€745.54,€745.54,€745.54,€745.54,€745.54,€745.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Remboursement de la sécurité sociale,€721.54,€721.54,€721.54,€721.54,€721.54,€721.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Remboursement Seyna,€24.00,€24.00,€24.00,€24.00,€24.00,€24.00
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Dépense (tarif moyen),€355.00,€355.00,€355.00,€355.00,€355.00,€355.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Base de remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Remboursement Seyna,€0.00,€67.00,€84.00,€84.00,€84.00,€84.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Reste à charge,€84.00,€17.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Dépense (tarif moyen),€447.00,€447.00,€447.00,€447.00,€447.00,€447.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Base de remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Remboursement Seyna,€0.00,€13.00,€81.00,€175.00,€175.00,€175.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Reste à charge,€176.00,€163.00,€95.00,€1.00,€1.00,€1.00
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Dépense (tarif moyen),"€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Base de remboursement de la sécurité sociale,"€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Remboursement de la sécurité sociale,"€2,616.00","€2,616.00","€2,616.00","€2,616.00","€2,616.00","€2,616.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Remboursement Seyna,€654.00,€654.00,€654.00,€654.00,€654.00,€654.00
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Dépense (tarif conventionnel),€25.00,€25.00,€25.00,€25.00,€25.00,€25.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Base de remboursement de la sécurité sociale,€25.00,€25.00,€25.00,€25.00,€25.00,€25.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Remboursement de la sécurité sociale,€16.50,€16.50,€16.50,€16.50,€16.50,€16.50
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Remboursement Seyna,€7.50,€7.50,€7.50,€7.50,€7.50,€7.50
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Reste à charge,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Dépense (tarif conventionnel),€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Base de remboursement de la sécurité sociale,€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Remboursement de la sécurité sociale,€22.40,€22.40,€22.40,€22.40,€22.40,€22.40
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Remboursement Seyna,€9.60,€9.60,€9.60,€9.60,€9.60,€9.60
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Dépense (tarif conventionnel),€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Base de remboursement de la sécurité sociale,€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Remboursement de la sécurité sociale,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Remboursement Seyna,€9.00,€9.00,€9.00,€9.00,€9.00,€9.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Reste à charge,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Dépense (tarif moyen),€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Base de remboursement de la sécurité sociale,€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Remboursement de la sécurité sociale,€22.40,€22.40,€22.40,€22.40,€22.40,€22.40
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Remboursement Seyna,€9.60,€9.60,€9.60,€9.60,€9.60,€9.60
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",Dépense (tarif moyen),€40.00,€40.00,€40.00,€40.00,€40.00,€40.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",Base de remboursement de la sécurité sociale,€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",Remboursement de la sécurité sociale,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",Remboursement Seyna,€9.00,€9.00,€16.00,€23.00,€23.00,€23.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,"Consultation médecin spécialiste pour un patient de plus de 18 ans (gynécologie, dermatologie, etc.)",Reste à charge,€11.00,€11.00,€4.00,€0.00,€0.00,€0.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,Dépense (tarif moyen),€55.00,€55.00,€55.00,€55.00,€55.00,€55.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,Base de remboursement de la sécurité sociale,€23.00,€23.00,€23.00,€23.00,€23.00,€23.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,Remboursement de la sécurité sociale,€16.00,€16.00,€16.00,€16.00,€16.00,€16.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,Remboursement Seyna,€6.90,€6.90,€8.50,€13.80,€19.50,€29.90
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un pédiatre pour enfant de 2 à 16 ans conventionné secteur 2,Reste à charge,€32.10,€32.10,€30.50,€25.20,€19.50,€9.10
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,Dépense (tarif moyen),€57.00,€57.00,€57.00,€57.00,€57.00,€57.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,Base de remboursement de la sécurité sociale,€23.00,€23.00,€23.00,€23.00,€23.00,€23.00
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,Remboursement de la sécurité sociale,€15.10,€15.10,€15.10,€15.10,€15.10,€15.10
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,Remboursement Seyna,€6.90,€6.90,€8.50,€13.80,€19.50,€29.90
Soins courants,Conventionnés secteur 2 (Non adhérent OPTAM),Consultation d'un médecin traitant spécialiste pour un adulte conventionné secteur 2,Reste à charge,€35.00,€35.00,€33.40,€28.10,€22.40,€12.00
Soins courants,Autres,Matériel médical (achat d'une paire de béquilles),Dépense (tarif moyen facturé),€25.80,€25.80,€25.80,€25.80,€25.80,€25.80
Soins courants,Autres,Matériel médical (achat d'une paire de béquilles),Base de remboursement de la sécurité sociale,€24.40,€24.40,€24.40,€24.40,€24.40,€24.40
Soins courants,Autres,Matériel médical (achat d'une paire de béquilles),Remboursement de la sécurité sociale,€14.60,€14.60,€14.60,€14.60,€14.60,€14.60
Soins courants,Autres,Matériel médical (achat d'une paire de béquilles),Remboursement Seyna,€9.70,€9.70,€9.70,€11.60,€11.60,€11.60
Soins courants,Autres,Matériel médical (achat d'une paire de béquilles),Reste à charge,€1.50,€1.50,€1.50,€0.00,€0.00,€0.00
Dentaire,,Couronne (prothèses 100% Santé),Dépense (honoraire limite de facturation),€500.00,€500.00,€500.00,€500.00,€500.00,€500.00
Dentaire,,Couronne (prothèses 100% Santé),Base de remboursement de la sécurité sociale,€120.00,€120.00,€120.00,€120.00,€120.00,€120.00
Dentaire,,Couronne (prothèses 100% Santé),Remboursement de la sécurité sociale,€84.00,€84.00,€84.00,€84.00,€84.00,€84.00
Dentaire,,Couronne (prothèses 100% Santé),Remboursement Seyna,€416.00,€416.00,€416.00,€416.00,€416.00,€416.00
Dentaire,,Couronne (prothèses 100% Santé),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Dentaire,,Détartrage (soins hors 100% Santé),Dépense (tarif de convention),€43.00,€43.00,€43.00,€43.00,€43.00,€43.00
Dentaire,,Détartrage (soins hors 100% Santé),Base de remboursement de la sécurité sociale,€43.00,€43.00,€43.00,€43.00,€43.00,€43.00
Dentaire,,Détartrage (soins hors 100% Santé),Remboursement de la sécurité sociale,€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Dentaire,,Détartrage (soins hors 100% Santé),Remboursement Seyna,€13.00,€13.00,€13.00,€13.00,€13.00,€13.00
Dentaire,,Détartrage (soins hors 100% Santé),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Dentaire,,Couronne céramo-métallique sur molaire (hors 100% Santé),Dépense (prix moyen national de l'acte),€537.00,€537.00,€537.00,€537.00,€537.00,€537.00
Dentaire,,Couronne céramo-métallique sur molaire (hors 100% Santé),Base de remboursement de la sécurité sociale,€107.00,€107.00,€107.00,€107.00,€107.00,€107.00
Dentaire,,Couronne céramo-métallique sur molaire (hors 100% Santé),Remboursement de la sécurité sociale,€75.00,€75.00,€75.00,€75.00,€75.00,€75.00
Dentaire,,Couronne céramo-métallique sur molaire (hors 100% Santé),Remboursement Seyna,€32.00,€86.00,€112.00,€138.00,€193.00,€247.00
Dentaire,,Couronne céramo-métallique sur molaire (hors 100% Santé),Reste à charge...,€430.00,€376.00,€350.00,€324.00,€269.00,€215.00
Dentaire,,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),Dépense (tarif réglementaire),€720.00,€720.00,€720.00,€720.00,€720.00,€720.00
Dentaire,,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),Base de remboursement de la sécurité sociale,€193.00,€193.00,€193.00,€193.00,€193.00,€193.00
Dentaire,,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),Remboursement de la sécurité sociale,€193.00,€193.00,€193.00,€193.00,€193.00,€193.00
Dentaire,,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),Remboursement Seyna,€0.00,€48.00,€96.00,€145.00,€193.00,€290.00
Dentaire,,Traitement d'orthodontie par semestre (moins de 16 ans) (6 semestres max),Reste à charge,€527.00,€479.00,€431.00,€382.00,€334.00,€237.00
Optique,,Verres simples et Monture (100% Santé),Dépense (prix limite de vente),€112.00,€112.00,€112.00,€112.00,€112.00,€112.00
Optique,,Verres simples et Monture (100% Santé),Base de remboursement de la sécurité sociale,€34.00,€34.00,€34.00,€34.00,€34.00,€34.00
Optique,,Verres simples et Monture (100% Santé),Remboursement de la sécurité sociale,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Optique,,Verres simples et Monture (100% Santé),Remboursement Seyna,€91.00,€91.00,€91.00,€91.00,€91.00,€91.00
Optique,,Verres simples et Monture (100% Santé),Reste à charge.,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Optique,,Verres progressifs et Monture (100% Santé),Dépense (prix limite de vente),€210.00,€210.00,€210.00,€210.00,€210.00,€210.00
Optique,,Verres progressifs et Monture (100% Santé),Base de remboursement de la sécurité sociale,€63.00,€63.00,€63.00,€63.00,€63.00,€63.00
Optique,,Verres progressifs et Monture (100% Santé),Remboursement de la sécurité sociale,€37.00,€37.00,€37.00,€37.00,€37.00,€37.00
Optique,,Verres progressifs et Monture (100% Santé),Remboursement Seyna,€172.00,€172.00,€172.00,€172.00,€172.00,€172.00
Optique,,Verres progressifs et Monture (100% Santé),Reste à charge.,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Optique,,Verres simples et Monture (hors 100% Santé),Dépense (prix limite de vente),€339.00,€339.00,€339.00,€339.00,€339.00,€339.00
Optique,,Verres simples et Monture (hors 100% Santé),Base de remboursement de la sécurité sociale,€0.15,€0.15,€0.15,€0.15,€0.15,€0.15
Optique,,Verres simples et Monture (hors 100% Santé),Remboursement de la sécurité sociale,€0.09,€0.09,€0.09,€0.09,€0.09,€0.09
Optique,,Verres simples et Monture (hors 100% Santé),Remboursement Seyna,€0.06,€100.00,€150.00,€200.00,€250.00,€300.00
Optique,,Verres simples et Monture (hors 100% Santé),Reste à charge.,€338.85,€238.91,€188.91,€138.91,€88.91,€38.91
Optique,,Verres progressifs et Monture (hors 100% Santé),Dépense (prix limite de vente),€601.00,€601.00,€601.00,€601.00,€601.00,€601.00
Optique,,Verres progressifs et Monture (hors 100% Santé),Base de remboursement de la sécurité sociale,€0.15,€0.15,€0.15,€0.15,€0.15,€0.15
Optique,,Verres progressifs et Monture (hors 100% Santé),Remboursement de la sécurité sociale,€0.09,€0.09,€0.09,€0.09,€0.09,€0.09
Optique,,Verres progressifs et Monture (hors 100% Santé),Remboursement Seyna,€0.06,€200.00,€250.00,€300.00,€350.00,€400.00
Optique,,Verres progressifs et Monture (hors 100% Santé),Reste à charge.,€600.85,€400.91,€350.91,€300.91,€250.91,€200.91
Optique,,Lentilles,Dépense (prix moyen national de l'acte),€156.00,€156.00,€156.00,€156.00,€156.00,€156.00
Optique,,Lentilles,Base de remboursement de la sécurité sociale,€78.00,€78.00,€78.00,€78.00,€78.00,€78.00
Optique,,Lentilles,Remboursement de la sécurité sociale,€47.00,€47.00,€47.00,€47.00,€47.00,€47.00
Optique,,Lentilles,Remboursement Seyna,€31.50,€81.50,€106.50,€109.50,€109.50,€109.50
Optique,,Lentilles,Reste à charge,€77.50,€27.50,€2.50,€0.00,€0.00,€0.00
Optique,,Chirurgie réfractive,Dépense (prix moyen national de l'acte),"€1,900.00","€1,900.00","€1,900.00","€1,900.00","€1,900.00","€1,900.00"
Optique,,Chirurgie réfractive,Base de remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Optique,,Chirurgie réfractive,Remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Optique,,Chirurgie réfractive,Remboursement Seyna,€0.00,€100.00,€150.00,€200.00,€250.00,€300.00
Optique,,Chirurgie réfractive,Reste à charge,"€1,900.00","€1,800.00","€1,750.00","€1,700.00","€1,650.00","€1,600.00"
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (100% Santé),Dépense (prix limite de vente),€950.00,€950.00,€950.00,€950.00,€950.00,€950.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (100% Santé),Base de remboursement de la sécurité sociale,€400.00,€400.00,€400.00,€400.00,€400.00,€400.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (100% Santé),Remboursement de la sécurité sociale,€240.00,€240.00,€240.00,€240.00,€240.00,€240.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (100% Santé),Remboursement Seyna,€710.00,€710.00,€710.00,€710.00,€710.00,€710.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (100% Santé),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),Dépense (prix moyen national de l'acte),"€1,500.00","€1,500.00","€1,500.00","€1,500.00","€1,500.00","€1,500.00"
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),Base de remboursement de la sécurité sociale,€400.00,€400.00,€400.00,€400.00,€400.00,€400.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),Remboursement de la sécurité sociale,€240.00,€240.00,€240.00,€240.00,€240.00,€240.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),Remboursement Seyna,€160.00,€160.00,€160.00,€160.00,€160.00,€160.00
Aides Auditives,,Par oreille pour un patient de plus de 20 ans (hors 100% Santé),Reste à charge,"€1,100.00","€1,100.00","€1,100.00","€1,100.00","€1,100.00","€1,100.00"